,Molecule Tag,Linelist,Occurances
&alpha;-Alanine,089503,CDMS,[237.43205]
"1,3-propanediol, gGG'g",076519,CDMS,"[222.14231, 222.14231, 224.0277, 224.02819, 239.83556, 239.83556, 239.8712, 239.8712]"
2-Cyanobutane,083505,CDMS,"[222.16282, 222.16282]"
3-Methylbutyronitrile,083506,CDMS,"[222.15061, 222.15061, 222.15061, 222.15061, 222.15158, 222.15158]"
<i>cyclo</i>-Propyl cyanide,067503,CDMS,[239.7921]
<i>n</i>-Propanol,060505,CDMS,[224.08826]
Acetaldehyde,044003,JPL,[236.51743]
Acetone,058003,JPL,"[236.51304, 240.05921, 240.05921]"
Aminoacetonitrile,056507,CDMS,[222.12912]
Aminoethanol,061004,JPL,"[222.12863, 222.14963, 222.16379, 224.00134, 224.0277, 236.50962, 236.51695, 239.80821, 239.80919]"
Ammonia,018501,CDMS,[222.16721]
Benzaldehyde,106501,CDMS,"[239.62656, 239.62656, 239.62656, 239.62656, 239.82384]"
Benzonitrile,103501,CDMS,"[222.1716, 222.1716]"
Bromine Dioxide,111001,JPL,"[221.62616, 222.14182, 223.93395]"
Butyronitrile,069002,JPL,"[222.10031, 239.87218, 239.87218]"
Chlorine nitrate,099001,JPL,"[240.08997, 240.08997]"
Cyanobutadiyne,076511,CDMS,[224.01794]
Cyanoethenone,067502,CDMS,"[222.1008, 222.1008]"
Diethyl ether,074503,CDMS,"[222.13059, 236.50913]"
Difluoromethane,052010,JPL,[236.51499]
Diketene,084503,CDMS,"[222.12912, 222.14133, 222.14133]"
Disulfurmonoxide,080503,CDMS,[224.02819]
Ethyl Cyanide,055502,CDMS,"[223.93346, 223.93346, 223.93346, 223.93346, 224.02819, 224.02819, 224.02819, 224.02819, 224.04577, 224.04577, 224.04577, 224.04577, 224.08826, 224.08826, 224.45889, 224.45889]"
Ethylene Glycol,062503,CDMS,[222.16575]
Formaldehyde,033510,CDMS,[223.93346]
Glycine,075002,JPL,"[222.16428, 222.17112, 224.20789, 239.62656, 239.62656, 239.62656, 239.62656, 239.84972]"
Glycolaldehyde,060006,JPL,"[222.16672, 236.51499, 237.09316, 237.09316, 237.09413, 237.09413]"
Hydroxyacetone,074003,JPL,"[237.43303, 237.43351, 239.62802]"
Hydroxyl radical,019006,JPL,[222.17112]
Manganese monoxide,071001,JPL,[224.0277]
Methanimine,030514,CDMS,[240.31948]
Methanol,032504,CDMS,"[224.00134, 224.00134]"
Methyl Carbamate,075004,JPL,[239.83556]
Methyl Formate,-60003,JPL,[240.08948]
Methyl chloride,084001,JPL,"[236.51646, 236.51646, 236.51646]"
"Methyl formate, v<sub>t</sub> = 0, 1",061515,CDMS,[222.14133]
Methyleneaminoacetonitrile,068506,CDMS,[239.82481]
Nitric acid,065004,JPL,"[222.10129, 222.14231, 236.51646]"
Ozone,049001,JPL,[224.0277]
Peroxynitric acid,079001,JPL,[224.20741]
Peroxynitrous acid,063009,JPL,[237.43351]
Phenol,094501,CDMS,"[222.09982, 224.02819, 224.02819, 224.02819, 224.02819]"
Phenylacetylene,102502,CDMS,"[222.15158, 222.15158]"
Propane,044013,JPL,[236.5145]
Propargyl Alcohol,056010,JPL,"[236.51988, 236.51988]"
Propenal,056008,JPL,"[240.42935, 240.42935]"
Sodium monoxide,039005,JPL,[237.43205]
Sulfuric acid,098001,JPL,[222.14182]
Tetrasulfur,128001,JPL,[222.16819]
Trans - HONO,047007,JPL,[236.51988]
Unknown,None,None,"[221.62518, 221.62567, 222.09885, 222.09933, 222.12766, 222.12814, 222.13107, 222.13156, 222.14914, 222.15012, 222.1511, 222.16086, 222.16135, 222.16184, 222.16233, 222.1633, 222.16477, 222.16526, 222.16623, 222.1677, 222.16867, 222.17209, 222.91824, 223.55306, 223.55355, 223.86705, 223.93297, 224.00182, 224.00231, 224.0028, 224.00329, 224.00378, 224.01745, 224.02868, 224.08777, 224.08874, 224.20643, 224.20692, 225.23629, 236.50864, 236.51011, 236.5106, 236.51109, 236.51157, 236.51206, 236.51255, 236.51353, 236.51402, 236.51548, 236.51597, 236.51792, 236.51939, 237.09267, 237.09365, 237.09462, 237.43156, 237.43254, 239.62705, 239.62753, 239.79161, 239.8087, 239.80968, 239.81016, 239.82433, 239.8253, 239.82579, 239.83019, 239.83067, 239.83116, 239.83409, 239.83605, 239.83653, 239.84923, 239.85021, 239.87169, 240.08899, 240.09046, 240.31899]"
Vinyl Cyanide,054509,CDMS,"[222.12961, 222.12961, 222.15061, 239.82921, 239.82921]"
"anti-n-butyronitrile, v<sub>30</sub> = 1",060509,CDMS,"[222.12717, 224.63859]"
"anti-n-butyronitrile, v<sub>30</sub> = 2",069513,CDMS,"[222.14182, 222.14182]"
gauche-Ethanol,046004,JPL,"[236.51695, 236.51695]"
gauche-n-butyronitrile,069508,CDMS,"[224.4584, 239.8297]"
"gauche-n-butyronitrile, v<sub>29</sub> = 1",069510,CDMS,"[222.16379, 222.16379]"
"gauche-n-butyronitrile, v<sub>30</sub> = 2",069512,CDMS,"[222.1301, 222.1301, 222.1301, 222.1301, 222.14963]"
n-Butyl cyanide,083502,CDMS,[224.63859]
"n-Butyronitrile, gauche/anti combined",069505,CDMS,[222.10031]
